r_title,genre,genre
분노의 질주: 더 익스트림,"['액션', '범죄', '스릴러']","1, 5, 17"
스타워즈: 깨어난 포스,"['액션', '모험', '판타지']","1, 2, 9"
글래스,"['드라마', '미스터리', 'SF']","7, 13, 15"
23 아이덴티티,"['공포', '스릴러']","11, 17"
링 2,"['공포', '스릴러', '드라마']","11, 17, 7"
12 솔져스,"['액션', '드라마', '전쟁']","1, 7, 18"
헬보이,"['액션', '모험', '판타지']","1, 2, 9"
엣지 오브 투모로우,"['액션', 'SF']","1, 15"
위플래쉬,['드라마'],7
샤잠!,"['액션', '판타지', 'SF']","1, 9, 15"
데드풀 2,"['액션', '모험', '코미디']","1, 2, 4"
신비한 동물들과 그린델왈드의 범죄,"['모험', '가족', '판타지']","2, 8, 9"
벤자민 버튼의 시간은 거꾸로 간다,"['판타지', '멜로/로맨스', '드라마']","9, 14, 7"
헌터 킬러,"['액션', '스릴러']","1, 17"
러빙 빈센트,"['애니메이션', '미스터리']","3, 13"
빅 히어로,"['애니메이션', '액션', '코미디']","3, 1, 4"
블레이드 러너 2049,"['SF', '액션']","15, 1"
드래곤 길들이기 3,"['애니메이션', '모험']","3, 2"
스타워즈: 라스트 제다이,"['액션', '모험', '판타지']","1, 2, 9"
블랙 팬서,"['액션', '드라마', 'SF']","1, 7, 15"
개구쟁이 스머프 2,"['애니메이션', '가족']","3, 8"
알리타: 배틀 엔젤,"['액션', '모험', '멜로/로맨스']","1, 2, 14"
한 솔로: 스타워즈 스토리,"['액션', 'SF']","1, 15"
명탐정 피카츄,"['액션', '모험', '코미디']","1, 2, 4"
메리 포핀스 리턴즈,"['판타지', '뮤지컬']","9, 12"
베놈,"['액션', 'SF', '스릴러']","1, 15, 17"
인크레더블 헐크,"['액션', '판타지', 'SF']","1, 9, 15"
엑소더스: 신들과 왕들,['드라마'],7
레고 무비2,"['애니메이션', '액션', '모험']","3, 1, 2"
직쏘,"['공포', '스릴러', '범죄']","11, 17, 5"
요로나의 저주,"['공포', '미스터리', '스릴러']","11, 13, 17"
원초적 본능 2,"['스릴러', '범죄', '미스터리']","17, 5, 13"
숀더쉽,"['애니메이션', '모험', '코미디']","3, 2, 4"
테일 오브 테일즈,['판타지'],9
위아 유어 프렌즈,"['드라마', '멜로/로맨스']","7, 14"
무한대를 본 남자,['드라마'],7
어드리프트:우리가 함께한 바다,"['드라마', '멜로/로맨스']","7, 14"
스파이더맨: 뉴 유니버스,"['애니메이션', '액션', '가족']","3, 1, 8"
엑스맨: 아포칼립스,"['액션', '모험', '판타지']","1, 2, 9"
엑스맨: 데이즈 오브 퓨처 패스트,"['SF', '모험', '액션']","15, 2, 1"
보헤미안 랩소디,['드라마'],7
카3: 새로운 도전,"['애니메이션', '모험', '코미디']","3, 2, 4"
레전드,"['액션', '범죄', '드라마']","1, 5, 7"
인크레더블 2,"['애니메이션', '액션', '모험']","3, 1, 2"
샌 안드레아스,"['액션', '드라마', '스릴러']","1, 7, 17"
스타 이즈 본,"['드라마', '멜로/로맨스']","7, 14"
시크릿 인 데어 아이즈,"['미스터리', '스릴러']","13, 17"
서프러제트,['드라마'],7
007 스펙터,"['액션', '모험', '범죄']","1, 2, 5"
작은 영웅 데스페로,"['가족', '모험', '판타지']","8, 2, 9"
엔들리스 러브,"['드라마', '멜로/로맨스']","7, 14"
더 프레데터,"['SF', '액션', '스릴러']","15, 1, 17"
아이언맨 3,"['SF', '모험', '액션']","15, 2, 1"
닥터 스트레인지,"['액션', '모험', '판타지']","1, 2, 9"
리핑 - 10개의 재앙,"['공포', 'SF', '스릴러']","11, 15, 17"
바이스,['드라마'],7
구스범스: 몬스터의 역습,"['판타지', '모험']","9, 2"
투 마더스,['드라마'],7
캡틴 아메리카: 시빌 워,"['액션', 'SF', '스릴러']","1, 15, 17"
어벤져스: 인피니티 워,"['액션', '모험', '판타지']","1, 2, 9"
어벤져스: 엔드게임,"['액션', 'SF']","1, 15"
더 이퀄라이저,"['액션', '범죄', '스릴러']","1, 5, 17"
캡틴 마블,"['액션', '모험', 'SF']","1, 2, 15"
토르: 다크 월드,"['액션', '모험', '판타지']","1, 2, 9"
터미네이터 제니시스,"['액션', '모험', 'SF']","1, 2, 15"
세기의 매치,['드라마'],7
후드,['모험'],2
2046,['드라마'],7
더 페이버릿: 여왕의 여자,['드라마'],7
메이즈 러너: 데스 큐어,"['액션', 'SF', '스릴러']","1, 15, 17"
극장판 도라에몽: 진구의 보물섬,['애니메이션'],3
단지 세상의 끝,['드라마'],7
저스티스 리그,"['액션', '모험', '판타지']","1, 2, 9"
파이브 피트,"['드라마', '멜로/로맨스']","7, 14"
워터호스,"['모험', '가족', '판타지']","2, 8, 9"
가디언즈 오브 갤럭시 VOL. 2,"['액션', 'SF']","1, 15"
가디언즈 오브 갤럭시 VOL. 2,"['액션', 'SF']","1, 15"
로건,"['액션', 'SF']","1, 15"
아쿠아맨,"['액션', '모험', 'SF']","1, 2, 15"
아바타,"['SF', '모험', '액션']","15, 2, 1"
트루스 오어 데어,"['공포', '스릴러']","11, 17"
캡틴 아메리카: 윈터 솔져,"['액션', '모험', 'SF']","1, 2, 15"
퍼스트 어벤져,"['액션', '모험']","1, 2"
왕이 될 아이,"['모험', '판타지']","2, 9"
빌리 진 킹: 세기의 대결,['코미디'],4
어스,"['스릴러', '공포']","17, 11"
47 미터,"['공포', '스릴러']","11, 17"
메가로돈,"['액션', '공포', 'SF']","1, 11, 15"
아이언맨,"['SF', '액션', '드라마']","15, 1, 7"
아이언맨 2,"['SF', '모험', '액션']","15, 2, 1"
다크 플레이스,"['드라마', '미스터리', '스릴러']","7, 13, 17"
존 윅 - 리로드,"['액션', '범죄', '스릴러']","1, 5, 17"
트랜스포터: 리퓰드,"['액션', '범죄', '스릴러']","1, 5, 17"
디트로이트,['스릴러'],17
트와일라잇,"['판타지', '멜로/로맨스', '드라마']","9, 14, 7"
토르: 천둥의 신,"['판타지', '액션', '모험']","9, 1, 2"
공포의 묘지,"['스릴러', '공포']","17, 11"
더 넌,"['공포', '미스터리', '스릴러']","11, 13, 17"
겨울왕국,"['애니메이션', '모험', '코미디']","3, 2, 4"
모털 엔진,"['액션', '모험', 'SF']","1, 2, 15"
다크 나이트,"['액션', '범죄', '드라마']","1, 5, 7"
인셉션,"['액션', '모험', 'SF']","1, 2, 15"
다크 나이트 라이즈,"['액션', '범죄', '스릴러']","1, 5, 17"
인터스텔라,['SF'],15
해피 데스데이 2 유,"['공포', '코미디']","11, 4"
미션 임파서블: 폴아웃,"['액션', '모험', '스릴러']","1, 2, 17"
비행기,"['애니메이션', '모험', '가족']","3, 2, 8"
라스트 미션,['드라마'],7
토르: 라그나로크,"['액션', '모험', '판타지']","1, 2, 9"
이모티: 더 무비,"['애니메이션', '코미디', '가족']","3, 4, 8"
범블비,"['액션', '모험', 'SF']","1, 2, 15"
덤보,"['가족', '판타지']","8, 9"
원더 우먼,"['액션', '모험', '판타지']","1, 2, 9"
앤트맨과 와스프,"['액션', '모험', 'SF']","1, 2, 15"
앤트맨과 와스프,"['액션', '모험', 'SF']","1, 2, 15"
삼총사 3D,"['판타지', '액션']","9, 1"
헝거게임:모킹제이,"['판타지', '액션']","9, 1"
장난스런 키스,['멜로/로맨스'],14
창문넘어 도망친 100세 노인,"['모험', '코미디', '드라마']","2, 4, 7"
더 건맨: 테이큰 감독 뉴프로젝트,"['액션', '스릴러', '범죄']","1, 17, 5"
마일 22,"['액션', '모험', '스릴러']","1, 2, 17"
반지의 제왕: 왕의 귀환,"['판타지', '모험', '액션']","9, 2, 1"
호빗: 다섯 군대 전투,"['판타지', '모험']","9, 2"
그린 북,['드라마'],7
주먹왕 랄프 2: 인터넷 속으로,"['애니메이션', '모험', '코미디']","3, 2, 4"
콜드 체이싱,['액션'],1
쥬라기 월드: 폴른 킹덤,"['액션', '모험', 'SF']","1, 2, 15"
장난감이 살아있다,"['애니메이션', '모험', '가족']","3, 2, 8"
